Name,Rating,Year of release
Ramayana: The Legend of Prince Rama,8.5,1993
Rocketry: The Nambi Effect,8.4,2022
777 Charlie,8.4,2022
Golmaal,8.4,1979
Nayakan,8.4,1987
Anbe Sivam,8.4,2003
Jai Bhim,8.4,2021
Kantara,8.4,2022
Pariyerum Perumal,8.4,2018
3 Idiots,8.4,2009
Apur Sansar,8.3,1959
Manichitrathazhu,8.3,1993
#Home,8.3,2021
Black Friday,8.3,2004
Kumbalangi Nights,8.3,2019
Soorarai Pottru,8.3,2020
Taare Zameen Par,8.3,2007
C/o Kancharapalem,8.3,2018
Kireedam,8.3,1989
Dangal,8.3,2016
Kaithi,8.3,2019
Jersey,8.3,2019
96,8.2,2018
Asuran,8.2,2019
Thevar Magan,8.2,1992
Natsamrat,8.2,2016
Drishyam 2,8.2,2021
Visaaranai,8.2,2015
Sita Ramam,8.2,2022
Thalapathi,8.2,1991
Pather Panchali,8.2,1955
Sarpatta Parambarai,8.2,2021
Jaane Bhi Do Yaaro,8.2,1983
Sardar Udham,8.2,2021
Thani Oruvan,8.2,2015
Aparajito,8.2,1956
Drishyam,8.2,2013
Khosla Ka Ghosla!,8.2,2006
Vada Chennai,8.2,2018
Ratsasan,8.1,2018
Chupke Chupke,8.1,1975
Anniyan,8.1,2005
Peranbu,8.1,2018
Mahanati,8.1,2018
Satya,8.1,1998
Gangs of Wasseypur,8.1,2012
Bangalore Days,8.1,2014
Premam,8.1,2015
Agent Sai Srinivasa Athreya,8.1,2019
Drishyam,8.1,2015
Devasuram,8.1,1993
Super Deluxe,8.1,2019
Bhaag Milkha Bhaag,8.1,2013
Andhadhun,8.1,2018
Tumbbad,8.1,2018
Vikram Vedha,8.1,2017
Guide,8.1,1965
Chithram,8.1,1988
Vikram,8.1,2022
Kannathil Muthamittal,8.1,2002
Zindagi Na Milegi Dobara,8.1,2011
Sairat,8.1,2016
Shahid,8.1,2012
Aruvi,8.1,2016
Paan Singh Tomar,8.1,2012
Iruvar,8.1,1997
Chhichhore,8.1,2019
"Swades: We, the People",8.1,2004
Pyaasa,8.1,1957
Drishyam 2,8.1,2022
Chak De! India,8.1,2007
Spadikam,8.1,1995
Munna Bhai M.B.B.S.,8.1,2003
Uri: The Surgical Strike,8.1,2019
Black,8.1,2005
Mudhalvan,8.1,1999
Jo Jeeta Wohi Sikandar,8.1,1992
Dhuruvangal Pathinaaru,8.1,2016
Lagaan: Once Upon a Time in India,8.1,2001
Papanasam,8.1,2015
Hera Pheri,8,2000
Pudhu Pettai,8,2006
Queen,8,2013
PK,8,2014
Article 15,8,2019
Talvar,8,2015
OMG: Oh My God!,8,2012
Sarfarosh,8,1999
Mandela,8,2021
Soodhu Kavvum,8,2013
Sholay,8,1975
Udaan,8,2010
Barfi!,8,2012
Jigarthanda,8,2014
The Legend of Bhagat Singh,8,2002
Kaakkaa Muttai,8,2014
Ustad Hotel,8,2012
Theeran Adhigaaram Ondru,8,2017
Rang De Basanti,8,2006
Angoor,8,1982
