Name,Rating,Year of release
The Shawshank Redemption,9.3,1994
The Godfather,9.2,1972
The Dark Knight,9,2008
The Lord of the Rings: The Return of the King,9,2003
Schindler's List,9,1993
The Godfather Part II,9,1974
12 Angry Men,9,1957
Pulp Fiction,8.9,1994
Inception,8.8,2010
The Lord of the Rings: The Two Towers,8.8,2002
Fight Club,8.8,1999
The Lord of the Rings: The Fellowship of the Ring,8.8,2001
Forrest Gump,8.8,1994
"Il buono, il brutto, il cattivo",8.8,1966
The Matrix,8.7,1999
Goodfellas,8.7,1990
The Empire Strikes Back,8.7,1980
One Flew Over the Cuckoo's Nest,8.7,1975
Interstellar,8.6,2014
Cidade de Deus,8.6,2002
Sen to Chihiro no kamikakushi,8.6,2001
Saving Private Ryan,8.6,1998
The Green Mile,8.6,1999
La vita è bella,8.6,1997
Se7en,8.6,1995
Terminator 2: Judgment Day,8.6,1991
The Silence of the Lambs,8.6,1991
Star Wars,8.6,1977
Seppuku,8.6,1962
Shichinin no samurai,8.6,1954
It's a Wonderful Life,8.6,1946
Gisaengchung,8.5,2019
Whiplash,8.5,2014
The Intouchables,8.5,2011
The Prestige,8.5,2006
The Departed,8.5,2006
The Pianist,8.5,2002
Gladiator,8.5,2000
American History X,8.5,1998
The Usual Suspects,8.5,1995
Léon,8.5,1994
The Lion King,8.5,1994
Nuovo Cinema Paradiso,8.5,1988
Hotaru no haka,8.5,1988
Back to the Future,8.5,1985
Apocalypse Now,8.5,1979
Alien,8.5,1979
Once Upon a Time in the West,8.5,1968
Psycho,8.5,1960
Rear Window,8.5,1954
Casablanca,8.5,1942
Modern Times,8.5,1936
City Lights,8.5,1931
Capharnaüm,8.4,2018
Joker,8.4,I) (2019
Kimi no Na wa.,8.4,2016
Spider-Man: Into the Spider-Verse,8.4,2018
Avengers: Endgame,8.4,2019
Avengers: Infinity War,8.4,2018
Coco,8.4,I) (2017
Django Unchained,8.4,2012
Top Gun: Maverick,8.4,2022
The Dark Knight Rises,8.4,2012
3 Idiots,8.4,2009
WALL·E,8.4,2008
The Lives of Others,8.4,2006
Oldeuboi,8.4,2003
Memento,8.4,2000
American Beauty,8.4,1999
Mononoke-hime,8.4,1997
Braveheart,8.4,1995
Idi i smotri,8.4,1985
Aliens,8.4,1986
Amadeus,8.4,1984
Raiders of the Lost Ark,8.4,1981
Das Boot,8.4,1981
The Shining,8.4,1980
Tengoku to jigoku,8.4,1963
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
Witness for the Prosecution,8.4,1957
Paths of Glory,8.4,1957
Sunset Blvd.,8.4,1950
The Great Dictator,8.4,1940
Jagten,8.3,2012
Toy Story 3,8.3,2010
Inglourious Basterds,8.3,2009
Eternal Sunshine of the Spotless Mind,8.3,2004
Requiem for a Dream,8.3,2000
Good Will Hunting,8.3,1997
Toy Story,8.3,1995
Reservoir Dogs,8.3,1992
Once Upon a Time in America,8.3,1984
Star Wars: Episode VI - Return of the Jedi,8.3,1983
2001: A Space Odyssey,8.3,1968
Lawrence of Arabia,8.3,1962
North by Northwest,8.3,1959
Vertigo,8.3,1958
Singin' in the Rain,8.3,1952
Citizen Kane,8.3,1941
M - Eine Stadt sucht einen Mörder,8.3,1931
